product name; brand; color; price; article ID
Strickpullover;BRUNO BANANI;[#3E3F41];39,99 EUR;Art.-Nr. 813142845d
Strickjacke;Andrew James;[#000080, #13255A];59,99 EUR;Art.-Nr. 448760000209920<
Layershirt 'Tony';INDICODE JEANS;[#FFD4CF, #008000, #b7b7b7, #ff0000];28,95 EUR;Art.-Nr. ART114153-074
Kurzarmhemd ' Oberon ';Charles Colby;[#add8e6];ab 52,99 EUR;Art.-Nr. C02306-0001><
Hemd;s.Oliver;[#add8e6, #FF9C9C];39,99 EUR;Art.-Nr. 13.810.21.6804_5
Layershirt 'Tony';INDICODE JEANS;[#FFD4CF, #ffffff, #008000, #ff0000];28,95 EUR;Art.-Nr. ART114153-070
Strickpullover;SELECTED HOMME;[#DDB33C, #13255A];39,99 EUR;Art.-Nr. 5714489040215
Shorts;TOM TAILOR;[#191970, #d8bfd8];29,90 EUR;Art.-Nr. 1007868102
Hose 'Suari';MANGO MAN;[#000080];59,99 EUR;Art.-Nr. 510670163856>
Pullover 'MAINSTAY V NECK';GAP;[#D3AB85, #b7b7b7, #000000];39,95 EUR;Art.-Nr. GAP2214003000001
Hemd 'camel active';CAMEL ACTIVE;[#0000ff];79,95 EUR;Art.-Nr. 31.216235-0014-5
Sweatshirt 'Graphic core 3 r sw l\s';G-Star RAW;[#D4F3DD];64,90 EUR;Art.-Nr. GST2122001000003
Jeans 'onsLOOM DARK BLUE 6972 PA NOOS';Only   Sons;[#6495ed];39,90 EUR;Art.-Nr. ONS0319001000001
Jeans;BURTON MENSWEAR LONDON;[#6495ed];39,90 EUR;Art.-Nr. BML0070001000001
Jacke;GUESS;[#13255A];169,90 EUR;Art.-Nr. 14067595di
T-Shirt;JACK   JONES;[#807D84, #ffff00, #000080, #ffffff];14,99 EUR;Art.-Nr. 5714490888103
Pyjama-Set 'Relax';HOM;[#0000ff];69,95 EUR;Art.-Nr. 12562div><
Chino 'Plek';s.Oliver;[#FACD4E, #bdb76b, #ffff00, #0000cd];59,99 EUR;Art.-Nr. 13.904.74.5354_5
Trachtenlederhose;COUNTRY LINE;[#663300];ab 119,99 EUR;Art.-Nr. 935044524d
Sweatshirt 'WADITO';khujo;[#b7b7b7];52,90 EUR;Art.-Nr. 4056852588797
Pullover 'Milford';Redefined Rebel;[#663300, #000080, #808000, #b7b7b7];32,95 EUR;Art.-Nr. ART114047-022
Jacke 'Jacket - Fielding';!Solid;[#008000, #000000];99,90 EUR;Art.-Nr. SLD0357002000001
Funktionsjacke 'Wild Run';NIKE;[#6C6D6A];113,90 EUR;Art.-Nr. 326616001d
6er Pack  Sneakersocken;MUSTANG;[#E1E1DF, #000000];16,98 EUR;Art.-Nr. 22473520043-46</
Pullover;PLUS EIGHTEEN;[#bdb76b, #13255A, #CCCCFF];79,95 EUR;Art.-Nr. 4059275313021
Hemd 'No. 6';OLYMP;[#add8e6, #13255A, #000000];79,90 EUR;Art.-Nr. OLY0126002000001
Pullover 'Milford';Redefined Rebel;[#663300, #000080, #b7b7b7, #808000];32,95 EUR;Art.-Nr. ART114047-028
Shirt 'V-LS EVD CREW STP';GAP;[#ffff00, #ffffff, #0000ff, #ff0000];24,90 EUR;Art.-Nr. GAP2182004000001
Pullover 'SLHVICTOR CREW NECK W NOOS';SELECTED HOMME;[#00008b, #E1E1DF, #000000, #ff0000];49,99 EUR;Art.-Nr. 5713740089383
Hemd;SEIDENSTICKER;[#b0c4de, #add8e6];49,99 EUR;Art.-Nr. 01.695160-0017-3
Strickpullover;TOM TAILOR DENIM;[#306C44, #ffff00, #000080, #ff0000];49,99 EUR;Art.-Nr. 1013686014
Sweatshirt `SOFT`;JACK   JONES;[#6C6D6A, #006400, #FF7900, #000000];34,99 EUR;Art.-Nr. 5714497496127
Strickpullover;TOM TAILOR DENIM;[#306C44, #ffff00, #000080, #b7b7b7];49,99 EUR;Art.-Nr. 1013686011
Weste Calzado;STOCKERPOINT;[#306C44, #0000ff, #000000];ab 49,99 EUR;Art.-Nr. 933638957d
Sweatjacke;HOMEBASE;[#663300, #ff0000];ab 61,39 EUR;Art.-Nr. 4059275266167
Pullover 'Nymbro';Shiwi;[#006400, #000080];69,99 EUR;Art.-Nr. SHW0064002000001
Pullover 'TEXTURE STRIPE CREW';Banana Republic;[#000080];49,50 EUR;Art.-Nr. BNR0576001000001
Sweatshirt;SELECTED HOMME;[#006400, #70778B, #A4050C, #708090];39,99 EUR;Art.-Nr. 5714493490693
Jacke;DANIEL HECHTER;[#191970];179,00 EUR;Art.-Nr. 4054506010823
Hemd 'Checked Flanell';Urban Classics;[#3E3F41, #006400, #AE394A, #ff0000];29,90 EUR;Art.-Nr. UCL0112002000001
Hose;TOM TAILOR DENIM;[#6C6D6A, #000000];49,99 EUR;Art.-Nr. 1014783005
